id,tokens_in_batch,label_smoothing,learning_rate,warmup_steps,betas,eps,vocab_size,max_seq_len,architecture_type,d_model,n_heads,d_queries,d_values,d_feed_forward,n_layers,dropout,attention_dim,encoder_hidden_dim,decoder_hidden_dim,encoder_dropout,decoder_dropout,n_steps,epochs,num_workers,debug,print_freq,observation,save_to_log,train_loss,valid_loss,test_loss,valid_blue_score,test_blue_score
0,4000,0.1,1.2352647110032733e-07,8000,"(0.9, 0.98)",1e-09,16000,256,transformer,512,8,64,64,2048,6,0.1,8,64,64,0.5,0.5,20000,,4,False,100,,True,2.309506431918278,3.4423043625870933,,,
1,3000,0.1,1.2352647110032733e-07,8000,"(0.9, 0.98)",1e-09,48000,256,transformer,512,8,64,64,2048,6,0.1,8,64,64,0.5,0.5,15000,,4,False,100,,True,2.582860851231875,3.983465207114662,,,
2,5000,0.1,1.2352647110032733e-07,8000,"(0.9, 0.98)",1e-09,4000,512,transformer,512,8,64,64,2048,6,0.1,8,64,64,0.5,0.5,20000,NA,4,False,100,,True,1.9798256463298385,2.7921460425730835,,,
